org_name,org_slug,region,signer_name,signer_title,signer_email
Allan Hancock College,allan-hancock-college,,,CEO / President,
Allan Hancock College,allan-hancock-college,,,Chief Instructional Officer,
Allan Hancock College,allan-hancock-college,,,Chief Student Services Officer,
American River College,american-river-college,,,CEO / President,
American River College,american-river-college,,,Chief Instructional Officer,
American River College,american-river-college,,,Chief Student Services Officer,
Antelope Valley College,antelope-valley-college,,,CEO / President,
Antelope Valley College,antelope-valley-college,,,Chief Instructional Officer,
Antelope Valley College,antelope-valley-college,,,Chief Student Services Officer,
Bakersfield College,bakersfield-college,,,CEO / President,
Bakersfield College,bakersfield-college,,,Chief Instructional Officer,
Bakersfield College,bakersfield-college,,,Chief Student Services Officer,
Barstow Community College,barstow-community-college,,,CEO / President,
Barstow Community College,barstow-community-college,,,Chief Instructional Officer,
Barstow Community College,barstow-community-college,,,Chief Student Services Officer,
Berkeley City College,berkeley-city-college,,,CEO / President,
Berkeley City College,berkeley-city-college,,,Chief Instructional Officer,
Berkeley City College,berkeley-city-college,,,Chief Student Services Officer,
Butte College,butte-college,,,CEO / President,
Butte College,butte-college,,,Chief Instructional Officer,
Butte College,butte-college,,,Chief Student Services Officer,
Cabrillo College,cabrillo-college,,,CEO / President,
Cabrillo College,cabrillo-college,,,Chief Instructional Officer,
Cabrillo College,cabrillo-college,,,Chief Student Services Officer,
Cañada College,ca-ada-college,,,CEO / President,
Cañada College,ca-ada-college,,,Chief Instructional Officer,
Cañada College,ca-ada-college,,,Chief Student Services Officer,
Cerritos College,cerritos-college,,,CEO / President,
Cerritos College,cerritos-college,,,Chief Instructional Officer,
Cerritos College,cerritos-college,,,Chief Student Services Officer,
Cerro Coso Community College,cerro-coso-community-college,,,CEO / President,
Cerro Coso Community College,cerro-coso-community-college,,,Chief Instructional Officer,
Cerro Coso Community College,cerro-coso-community-college,,,Chief Student Services Officer,
Chabot College,chabot-college,,,CEO / President,
Chabot College,chabot-college,,,Chief Instructional Officer,
Chabot College,chabot-college,,,Chief Student Services Officer,
Chaffey College,chaffey-college,,,CEO / President,
Chaffey College,chaffey-college,,,Chief Instructional Officer,
Chaffey College,chaffey-college,,,Chief Student Services Officer,
Citrus College,citrus-college,,,CEO / President,
Citrus College,citrus-college,,,Chief Instructional Officer,
Citrus College,citrus-college,,,Chief Student Services Officer,
City College of San Francisco,city-college-of-san-francisco,,,CEO / President,
City College of San Francisco,city-college-of-san-francisco,,,Chief Instructional Officer,
City College of San Francisco,city-college-of-san-francisco,,,Chief Student Services Officer,
Clovis Community College,clovis-community-college,,,CEO / President,
Clovis Community College,clovis-community-college,,,Chief Instructional Officer,
Clovis Community College,clovis-community-college,,,Chief Student Services Officer,
Coalinga College,coalinga-college,,,CEO / President,
Coalinga College,coalinga-college,,,Chief Instructional Officer,
Coalinga College,coalinga-college,,,Chief Student Services Officer,
Coastline Community College,coastline-community-college,,,CEO / President,
Coastline Community College,coastline-community-college,,,Chief Instructional Officer,
Coastline Community College,coastline-community-college,,,Chief Student Services Officer,
College of Alameda,college-of-alameda,,,CEO / President,
College of Alameda,college-of-alameda,,,Chief Instructional Officer,
College of Alameda,college-of-alameda,,,Chief Student Services Officer,
College of San Mateo,college-of-san-mateo,,,CEO / President,
College of San Mateo,college-of-san-mateo,,,Chief Instructional Officer,
College of San Mateo,college-of-san-mateo,,,Chief Student Services Officer,
College of the Canyons,college-of-the-canyons,,,CEO / President,
College of the Canyons,college-of-the-canyons,,,Chief Instructional Officer,
College of the Canyons,college-of-the-canyons,,,Chief Student Services Officer,
College of the Desert,college-of-the-desert,,,CEO / President,
College of the Desert,college-of-the-desert,,,Chief Instructional Officer,
College of the Desert,college-of-the-desert,,,Chief Student Services Officer,
College of the Redwoods,college-of-the-redwoods,,,CEO / President,
College of the Redwoods,college-of-the-redwoods,,,Chief Instructional Officer,
College of the Redwoods,college-of-the-redwoods,,,Chief Student Services Officer,
College of the Sequoias,college-of-the-sequoias,,,CEO / President,
College of the Sequoias,college-of-the-sequoias,,,Chief Instructional Officer,
College of the Sequoias,college-of-the-sequoias,,,Chief Student Services Officer,
Columbia College,columbia-college,,,CEO / President,
Columbia College,columbia-college,,,Chief Instructional Officer,
Columbia College,columbia-college,,,Chief Student Services Officer,
Compton College,compton-college,,,CEO / President,
Compton College,compton-college,,,Chief Instructional Officer,
Compton College,compton-college,,,Chief Student Services Officer,
Copper Mountain College,copper-mountain-college,,,CEO / President,
Copper Mountain College,copper-mountain-college,,,Chief Instructional Officer,
Copper Mountain College,copper-mountain-college,,,Chief Student Services Officer,
Crafton Hills College,crafton-hills-college,,,CEO / President,
Crafton Hills College,crafton-hills-college,,,Chief Instructional Officer,
Crafton Hills College,crafton-hills-college,,,Chief Student Services Officer,
Cuesta College,cuesta-college,,,CEO / President,
Cuesta College,cuesta-college,,,Chief Instructional Officer,
Cuesta College,cuesta-college,,,Chief Student Services Officer,
Cuyamaca College,cuyamaca-college,,,CEO / President,
Cuyamaca College,cuyamaca-college,,,Chief Instructional Officer,
Cuyamaca College,cuyamaca-college,,,Chief Student Services Officer,
Cypress College ,cypress-college,,,CEO / President,
Cypress College ,cypress-college,,,Chief Instructional Officer,
Cypress College ,cypress-college,,,Chief Student Services Officer,
De Anza College,de-anza-college,,,CEO / President,
De Anza College,de-anza-college,,,Chief Instructional Officer,
De Anza College,de-anza-college,,,Chief Student Services Officer,
Diablo Valley College,diablo-valley-college,,,CEO / President,
Diablo Valley College,diablo-valley-college,,,Chief Instructional Officer,
Diablo Valley College,diablo-valley-college,,,Chief Student Services Officer,
East Los Angeles College,east-los-angeles-college,,,CEO / President,
East Los Angeles College,east-los-angeles-college,,,Chief Instructional Officer,
East Los Angeles College,east-los-angeles-college,,,Chief Student Services Officer,
El Camino College,el-camino-college,,,CEO / President,
El Camino College,el-camino-college,,,Chief Instructional Officer,
El Camino College,el-camino-college,,,Chief Student Services Officer,
Evergreen Valley College,evergreen-valley-college,,,CEO / President,
Evergreen Valley College,evergreen-valley-college,,,Chief Instructional Officer,
Evergreen Valley College,evergreen-valley-college,,,Chief Student Services Officer,
Foothill College,foothill-college,,,CEO / President,
Foothill College,foothill-college,,,Chief Instructional Officer,
Foothill College,foothill-college,,,Chief Student Services Officer,
Fresno City College,fresno-city-college,,,CEO / President,
Fresno City College,fresno-city-college,,,Chief Instructional Officer,
Fresno City College,fresno-city-college,,,Chief Student Services Officer,
Fullerton College,fullerton-college,,,CEO / President,
Fullerton College,fullerton-college,,,Chief Instructional Officer,
Fullerton College,fullerton-college,,,Chief Student Services Officer,
Gavilan College,gavilan-college,,,CEO / President,
Gavilan College,gavilan-college,,,Chief Instructional Officer,
Gavilan College,gavilan-college,,,Chief Student Services Officer,
Glendale Community College,glendale-community-college,,,CEO / President,
Glendale Community College,glendale-community-college,,,Chief Instructional Officer,
Glendale Community College,glendale-community-college,,,Chief Student Services Officer,
Golden West College,golden-west-college,,,CEO / President,
Golden West College,golden-west-college,,,Chief Instructional Officer,
Golden West College,golden-west-college,,,Chief Student Services Officer,
Hartnell College,hartnell-college,,,CEO / President,
Hartnell College,hartnell-college,,,Chief Instructional Officer,
Hartnell College,hartnell-college,,,Chief Student Services Officer,
Irvine Valley College,irvine-valley-college,,,CEO / President,
Irvine Valley College,irvine-valley-college,,,Chief Instructional Officer,
Irvine Valley College,irvine-valley-college,,,Chief Student Services Officer,
Laney College,laney-college,,,CEO / President,
Laney College,laney-college,,,Chief Instructional Officer,
Laney College,laney-college,,,Chief Student Services Officer,
Las Positas College,las-positas-college,,,CEO / President,
Las Positas College,las-positas-college,,,Chief Instructional Officer,
Las Positas College,las-positas-college,,,Chief Student Services Officer,
Lassen College,lassen-college,,,CEO / President,
Lassen College,lassen-college,,,Chief Instructional Officer,
Lassen College,lassen-college,,,Chief Student Services Officer,
Lemoore College,lemoore-college,,,CEO / President,
Lemoore College,lemoore-college,,,Chief Instructional Officer,
Lemoore College,lemoore-college,,,Chief Student Services Officer,
Long Beach City College,long-beach-city-college,,,CEO / President,
Long Beach City College,long-beach-city-college,,,Chief Instructional Officer,
Long Beach City College,long-beach-city-college,,,Chief Student Services Officer,
Los Angeles City College,los-angeles-city-college,,,CEO / President,
Los Angeles City College,los-angeles-city-college,,,Chief Instructional Officer,
Los Angeles City College,los-angeles-city-college,,,Chief Student Services Officer,
Los Angeles Harbor College,los-angeles-harbor-college,,,CEO / President,
Los Angeles Harbor College,los-angeles-harbor-college,,,Chief Instructional Officer,
Los Angeles Harbor College,los-angeles-harbor-college,,,Chief Student Services Officer,
Los Angeles Mission College,los-angeles-mission-college,,,CEO / President,
Los Angeles Mission College,los-angeles-mission-college,,,Chief Instructional Officer,
Los Angeles Mission College,los-angeles-mission-college,,,Chief Student Services Officer,
Los Angeles Pierce College,los-angeles-pierce-college,,,CEO / President,
Los Angeles Pierce College,los-angeles-pierce-college,,,Chief Instructional Officer,
Los Angeles Pierce College,los-angeles-pierce-college,,,Chief Student Services Officer,
Los Angeles Trade Technical College,los-angeles-trade-technical-college,,,CEO / President,
Los Angeles Trade Technical College,los-angeles-trade-technical-college,,,Chief Instructional Officer,
Los Angeles Trade Technical College,los-angeles-trade-technical-college,,,Chief Student Services Officer,
Los Angeles Valley College,los-angeles-valley-college,,,CEO / President,
Los Angeles Valley College,los-angeles-valley-college,,,Chief Instructional Officer,
Los Angeles Valley College,los-angeles-valley-college,,,Chief Student Services Officer,
Los Medanos College,los-medanos-college,,,CEO / President,
Los Medanos College,los-medanos-college,,,Chief Instructional Officer,
Los Medanos College,los-medanos-college,,,Chief Student Services Officer,
Madera College,madera-college,,,CEO / President,
Madera College,madera-college,,,Chief Instructional Officer,
Madera College,madera-college,,,Chief Student Services Officer,
Mendocino College,mendocino-college,,,CEO / President,
Mendocino College,mendocino-college,,,Chief Instructional Officer,
Mendocino College,mendocino-college,,,Chief Student Services Officer,
Merced College,merced-college,,,CEO / President,
Merced College,merced-college,,,Chief Instructional Officer,
Merced College,merced-college,,,Chief Student Services Officer,
Merritt College,merritt-college,,,CEO / President,
Merritt College,merritt-college,,,Chief Instructional Officer,
Merritt College,merritt-college,,,Chief Student Services Officer,
Mission College,mission-college,,,CEO / President,
Mission College,mission-college,,,Chief Instructional Officer,
Mission College,mission-college,,,Chief Student Services Officer,
Modesto Junior College,modesto-junior-college,,,CEO / President,
Modesto Junior College,modesto-junior-college,,,Chief Instructional Officer,
Modesto Junior College,modesto-junior-college,,,Chief Student Services Officer,
Monterey Peninsula College,monterey-peninsula-college,,,CEO / President,
Monterey Peninsula College,monterey-peninsula-college,,,Chief Instructional Officer,
Monterey Peninsula College,monterey-peninsula-college,,,Chief Student Services Officer,
Moorpark College,moorpark-college,,,CEO / President,
Moorpark College,moorpark-college,,,Chief Instructional Officer,
Moorpark College,moorpark-college,,,Chief Student Services Officer,
Moreno Valley College,moreno-valley-college,,,CEO / President,
Moreno Valley College,moreno-valley-college,,,Chief Instructional Officer,
Moreno Valley College,moreno-valley-college,,,Chief Student Services Officer,
Mt. San Antonio College,mt-san-antonio-college,,,CEO / President,
Mt. San Antonio College,mt-san-antonio-college,,,Chief Instructional Officer,
Mt. San Antonio College,mt-san-antonio-college,,,Chief Student Services Officer,
Mt. San Jacinto College,mt-san-jacinto-college,,,CEO / President,
Mt. San Jacinto College,mt-san-jacinto-college,,,Chief Instructional Officer,
Mt. San Jacinto College,mt-san-jacinto-college,,,Chief Student Services Officer,
Napa Valley College,napa-valley-college,,,CEO / President,
Napa Valley College,napa-valley-college,,,Chief Instructional Officer,
Napa Valley College,napa-valley-college,,,Chief Student Services Officer,
Norco College,norco-college,,,CEO / President,
Norco College,norco-college,,,Chief Instructional Officer,
Norco College,norco-college,,,Chief Student Services Officer,
Oxnard College,oxnard-college,,,CEO / President,
Oxnard College,oxnard-college,,,Chief Instructional Officer,
Oxnard College,oxnard-college,,,Chief Student Services Officer,
Palo Verde College,palo-verde-college,,,CEO / President,
Palo Verde College,palo-verde-college,,,Chief Instructional Officer,
Palo Verde College,palo-verde-college,,,Chief Student Services Officer,
Pasadena City College,pasadena-city-college,,,CEO / President,
Pasadena City College,pasadena-city-college,,,Chief Instructional Officer,
Pasadena City College,pasadena-city-college,,,Chief Student Services Officer,
Porterville College,porterville-college,,,CEO / President,
Porterville College,porterville-college,,,Chief Instructional Officer,
Porterville College,porterville-college,,,Chief Student Services Officer,
Reedley College,reedley-college,,,CEO / President,
Reedley College,reedley-college,,,Chief Instructional Officer,
Reedley College,reedley-college,,,Chief Student Services Officer,
Riverside City College,riverside-city-college,,,CEO / President,
Riverside City College,riverside-city-college,,,Chief Instructional Officer,
Riverside City College,riverside-city-college,,,Chief Student Services Officer,
Sacramento City College,sacramento-city-college,,,CEO / President,
Sacramento City College,sacramento-city-college,,,Chief Instructional Officer,
Sacramento City College,sacramento-city-college,,,Chief Student Services Officer,
Saddleback College,saddleback-college,,,CEO / President,
Saddleback College,saddleback-college,,,Chief Instructional Officer,
Saddleback College,saddleback-college,,,Chief Student Services Officer,
San Bernardino Valley College,san-bernardino-valley-college,,,CEO / President,
San Bernardino Valley College,san-bernardino-valley-college,,,Chief Instructional Officer,
San Bernardino Valley College,san-bernardino-valley-college,,,Chief Student Services Officer,
San Diego City College,san-diego-city-college,,,CEO / President,
San Diego City College,san-diego-city-college,,,Chief Instructional Officer,
San Diego City College,san-diego-city-college,,,Chief Student Services Officer,
San Diego Mesa College,san-diego-mesa-college,,,CEO / President,
San Diego Mesa College,san-diego-mesa-college,,,Chief Instructional Officer,
San Diego Mesa College,san-diego-mesa-college,,,Chief Student Services Officer,
San Diego Miramar College,san-diego-miramar-college,,,CEO / President,
San Diego Miramar College,san-diego-miramar-college,,,Chief Instructional Officer,
San Diego Miramar College,san-diego-miramar-college,,,Chief Student Services Officer,
San Joaquin Delta College,san-joaquin-delta-college,,,CEO / President,
San Joaquin Delta College,san-joaquin-delta-college,,,Chief Instructional Officer,
San Joaquin Delta College,san-joaquin-delta-college,,,Chief Student Services Officer,
San Jose City College ,san-jose-city-college,,,CEO / President,
San Jose City College ,san-jose-city-college,,,Chief Instructional Officer,
San Jose City College ,san-jose-city-college,,,Chief Student Services Officer,
Santa Ana College,santa-ana-college,,,CEO / President,
Santa Ana College,santa-ana-college,,,Chief Instructional Officer,
Santa Ana College,santa-ana-college,,,Chief Student Services Officer,
Santa Barbara City College,santa-barbara-city-college,,,CEO / President,
Santa Barbara City College,santa-barbara-city-college,,,Chief Instructional Officer,
Santa Barbara City College,santa-barbara-city-college,,,Chief Student Services Officer,
Santa Rosa Junior College,santa-rosa-junior-college,,,CEO / President,
Santa Rosa Junior College,santa-rosa-junior-college,,,Chief Instructional Officer,
Santa Rosa Junior College,santa-rosa-junior-college,,,Chief Student Services Officer,
Santiago Canyon College,santiago-canyon-college,,,CEO / President,
Santiago Canyon College,santiago-canyon-college,,,Chief Instructional Officer,
Santiago Canyon College,santiago-canyon-college,,,Chief Student Services Officer,
Shasta College,shasta-college,,,CEO / President,
Shasta College,shasta-college,,,Chief Instructional Officer,
Shasta College,shasta-college,,,Chief Student Services Officer,
Sierra College,sierra-college,,,CEO / President,
Sierra College,sierra-college,,,Chief Instructional Officer,
Sierra College,sierra-college,,,Chief Student Services Officer,
Skyline College,skyline-college,,,CEO / President,
Skyline College,skyline-college,,,Chief Instructional Officer,
Skyline College,skyline-college,,,Chief Student Services Officer,
Solano Community College,solano-community-college,,,CEO / President,
Solano Community College,solano-community-college,,,Chief Instructional Officer,
Solano Community College,solano-community-college,,,Chief Student Services Officer,
Southwestern College,southwestern-college,,,CEO / President,
Southwestern College,southwestern-college,,,Chief Instructional Officer,
Southwestern College,southwestern-college,,,Chief Student Services Officer,
Taft College,taft-college,,,CEO / President,
Taft College,taft-college,,,Chief Instructional Officer,
Taft College,taft-college,,,Chief Student Services Officer,
Ventura College,ventura-college,,,CEO / President,
Ventura College,ventura-college,,,Chief Instructional Officer,
Ventura College,ventura-college,,,Chief Student Services Officer,
Victor Valley College,victor-valley-college,,,CEO / President,
Victor Valley College,victor-valley-college,,,Chief Instructional Officer,
Victor Valley College,victor-valley-college,,,Chief Student Services Officer,
West Los Angeles College,west-los-angeles-college,,,CEO / President,
West Los Angeles College,west-los-angeles-college,,,Chief Instructional Officer,
West Los Angeles College,west-los-angeles-college,,,Chief Student Services Officer,
West Valley College,west-valley-college,,,CEO / President,
West Valley College,west-valley-college,,,Chief Instructional Officer,
West Valley College,west-valley-college,,,Chief Student Services Officer,
Woodland Community College,woodland-community-college,,,CEO / President,
Woodland Community College,woodland-community-college,,,Chief Instructional Officer,
Woodland Community College,woodland-community-college,,,Chief Student Services Officer,
